页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图,,
金币明细页面,每日签到,GoldDetailsPage_CheckIn,Daily Check-in,Check in setiap hari,รายงานตัวประจำวัน,Báo danh mỗi ngày,Tandatangi Setiap Hari,,,
,在「s%」游戏中取得胜利,GoldDetailsPage_WinGame,Win in the game 「s%」,"Menangkan game ""s%""",ได้รับชัยชนะในเกม 「s%」,Giành chiến thắng trong trò chơi「s%」,Menang dalam permainan「s%」,,,
,完成了「s%」任务,GoldDetailsPage_CompleteTask,Complete the task 「s%」,"Selesaikan tugas ""s%""",สำเร็จภารกิจ 「s%」,Hoàn thành nhiệm vụ「s%」,Tugas「s%」diselesaikan,,,
,兑换了s%个金币,GoldDetailsPage_ExchangeGold,Exchange s% Gold Coins,% Koin emas yang ditukarkan,แลกเหรียญทอง s% อัน,Đã đổi s% tiền xu vàng,s% syiling emas ditukar,,,
,用钻石成功兑换了s%个金币,GoldDetailsPage_ExchangeGoldWithDiamond,Exchange s% Gold Coins with Diamonds,Berhasil menukarkan koin emas dengan berlian %,,Dùng kim cương đổi s% tiền xu vàng thành công,s% syiling emas ditukar dengan berlian,,,
钻石明细,充值了s%颗钻石,DiamondDetailsPage_Recharge,Recharge s% Diamonds,Top up% berlian,เติมเงินและซื้อเพชร s% อัน,Nạp s% kim cương,Membeli s% berlian,,,
,成功邀请好友,DiamondDetailsPage_Invite,Invite a friend,Berhasil mengundang teman,การเชิญชวนเพื่อนสำเร็จ,Mời bạn bè thành công,Berjaya menjemput kawan,,,
,在「s%」游戏中赢得s%颗钻石,DiamondDetailsPage_WinDiamond,Win s% Diamonds in the game 「s%」,"Hasilkan% berlian dalam game ""s%""",ได้ชนะเกม 「s%」 และได้รับเพชร s% อัน,Giành s% kim cương trong trò chơi「s%」,Menang s% berlian dalam permainan「s%」,,,
,在「s%」游戏中输了s%颗钻石,DiamondDetailsPage_LoseDiamond,Lose s% Diamonds in the game 「s%」,"Hilang% berlian dalam game ""s%""",ได้แพ้เกม 「s%」 และสูญเสียเพชร s% อัน,Thua s% kim cương trong trò chơi「s%」,Rugi s% berlian dalam permainan「s%」,,,
,「s%」入场消费s%颗钻石,DiamondDetailsPage_Enter,Spend s% Diamonds to enter 「s%」,s% penerimaan masuk% berlian,ใช้เพชร s% เพื่อเข้าเล่นเกม 「s%」,「s%」vào trận tiêu hao s% kim cương,Bayar s% berlian untuk masuk「s%」,,,
,兑换了s%颗钻石,DiamondDetailsPage_Exchange,Exchange s% Diamonds,% Diamond yang ditebus,แลกเพชร s% อัน,Đã đổi s% kim cương,s% berlian ditukar,,,
,商城中兑换商品花费了s%颗钻石,DiamondDetailsPage_SpendInShop,Spend s% Diamonds to exchange goods in the Shop,Butuh% berlian untuk menebus barang di mal.,ใช้เพชรไป s% อัน เพื่อแลกสินค้าในห้างสรรพสินค้า,Dùng s% kim cương đổi vật phẩm trong trung tâm thương mại,Membeli barang di kedai dengan s% berlian,,,
,成功将s%颗钻石提现,DiamondDetailsPage_Withdraw,Withdraw s% Diamonds,Berhasil menarik% berlian,เบิกถอนเพชร s% อันเรียบร้อย,Rút s% kim cương thành công,Berjaya keluarkan s% berlian dalam bentuk tunai,,,
,花费了s%颗钻石兑换金币,DiamondDetailsPage_ExchangeGold,Spend s% Diamonds to exchange Gold Coins,Belanjakan% berlian untuk koin emas,แลกเหรียญทองด้วยเพชร  s% อัน,Dùng s% kim cương đổi tiền xu vàng,s% berlian ditukar menjadi syiling emas ,,,
