页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图,,,
,你好友所在的房间人数已满，是否随机加入一个房间？,FriendsListPage_DialogTips,The room which your friend is in is fully occupied. Do you want to join a room at random?,"Jumlah kamar di temanmu sudah penuh, apakah kamu secara acak bergabung dengan kamar?",ห้องเกมที่เพื่อนคุณอยู่เต็มแล้ว คุณจะสุ่มห้องเกมหรือไม่,"Số người ở phòng chơi mà bạn của bạn tham gia đã đủ, có vào ngẫu nhiên phòng khác không?","Bilik kawan kamu sudah penuh, boleh masuk bilik lain secara rambang?",,,,
,开始游戏,FriendsListPage_Start,Start,Mulai permainan,เริ่มเกม,Bắt đầu chơi,Mula bermain,,,,
,不玩了,FriendsListPage_Quit,Quit,Tidak bermain,ไม่เล่นแล้ว,Không chơi nữa,Berhenti,,,,
聊天页面（消息发送失败）,消息发送失败，是否重发？,ChatPage_FailedToSend,Failed to send message. Do you want to send again?,"Pesan gagal dikirim, apakah itu marah?",การส่งข้อความล้มเหลว คุณจะส่งใหม่อีกครั้งไหม,"Gửi tin nhắn thất bại, có gửi lại không?",Mesej gagal dikirim，ingin hantar sekali lagi？,,,,
,重发,ChatPage_SendAgain,Send Again,Kirim ulang,ส่งใหม่อีกครั้ง,Gửi lại,Hantar sekali lagi,,,,
,取消,ChatPage_Cancel,Cancel,Batalkan,ยกเลิก,Hủy,Batal,,,,
添加好友,添加好友,ChatPage_AddFriends,Add Friends,Tambahkan teman,เพิ่มผู้ติดต่อ,Thêm bạn bè,Tambah kawan,,,,
,申请已发送，请等待对方验证,ChatPage_WaitForTheVerification,"The application has been sent, please wait for the verification","Aplikasi telah dikirim, silakan tunggu pihak lain memverifikasi",คำขอถูกส่งไปเรียบร้อยแล้ว กรุณารออีกหนึ่งฝ่ายยืนยัน,"Yêu cầu đã gửi đi, vui lòng đợi đối phương xác nhận",Permintaan sudah dikirim，tunggu pengesahannya,,,,
,待验证,ChatPage_PendingVerification,Pending Verification,Verifikasi tertunda,รอการยืนยันอยู่,Đợi xác nhận,Tunggu pengesahan,,,,
,同意,ChatPage_Agree,Agree,Setuju,เห็นด้วย,Đồng ý,Setuju,,,,
,对方申请添加你为好友，同意即可成为好友,ChatPage_AgreeToAdd,"The user applies to add you as a friend, agree to add.","Pihak lain berlaku untuk menambahkan Anda sebagai teman, setuju untuk menjadi teman",อีกหนึ่งฝ่ายขอเป็นเพื่อนกับคุณ หากคุณรับคำขอ ก็เป็นเพื่อนกันได้ทันที,"Đối phương yêu cầu kết bạn với bạn, đồng ý là trở thành bạn bè","Dia minta tambah anda sebagai kawan, jika setuju, boleh menjadi kawan",,,,
,你们刚刚成为好友,ChatPage_JustBeFriends,You have just become friends,Anda baru saja menjadi teman,พวกคุณเป็นเพื่อนกันแล้วเมื่อกี้นี้,Các bạn vừa trở thành bạn bè,Kamu baru menjadi kawan ,,,,
,我们已经成为好友了，欢迎随时找我约战,ChatPage_BeFriends,We have become friends. Invite me to play at any time,"Kami sudah berteman, jangan ragu untuk meminta saya bertengkar.",เราเป็นเพื่อนกันแล้ว ยินดีตลอดที่คุณจะมานัดเล่นเกมกับฉันเมื่อไรก็ได้,"Chúng ta đã trở thành bạn bè, rất sẵn lòng nhận lời hẹn thi đấu của bạn bất cứ lúc nào","kita sudah menjadi kawan, selamat berlawan dengan saya",,,,
IM 中约战,等待对方接受邀请,ChatPage_Wating,Waiting for the user to accept,Menunggu pihak lain untuk menerima,รออีกหนึ่งฝ่ายรับการเชิญชวน,Đợi đối phương chấp nhận lời mời,Tunggu dia menerima jemputan,,,,
,接受,ChatPage_Accept,Accept,Terima,รับ,Chấp nhận,Setuju,,,,
,拒绝,ChatPage_Refuse,Refuse,Tolak,ปฏิเสธ,Từ chối,Menolak,,,,
,对方未接受,ChatPage_NotAccept,The user did not accept,Pihak lain tidak menerima,อีกฝ่ายหนึ่งไม่รับ,Đối phương chưa chấp nhận,Dia belum menerima,,,,
,约战已失效,ChatPage_Expired,The invitation has expired,Pertempuran telah berakhir,การนักเล่นเกมเกินเวลากำหนด,Lời hẹn thi đấu đã mất hiệu lực,Permintaan tamat tempohnya,,,,
,对方已拒绝,ChatPage_OpponetRefused,The user has refused,Pihak lain telah menolak,อีกฝ่ายหนึ่งปฏิเสธแล้ว,Đối phương đã từ chối,Dia sudah menolak,,,,
,已拒绝,ChatPage_Refused,Refused,Ditolak,ปฏิเสธแล้ว,Đã từ chối,Sudah menolak,,,,
被删除好友提示,你还不是Ta的好友，请先发送验证，对方通过后才能聊天。发送朋友验证,ChatPage_FriendsDeletedTips,"You are not currently a friend of the user. Please send the application first, and chat after the user agrees. Send application","Anda bukan teman Ta, silakan kirim verifikasi terlebih dahulu, dan pihak lain bisa meneruskan obrolan. Kirim verifikasi teman",คุณยังไม่ใช่เพื่อนกับเขา/เธอ กรุณาส่งคำขอเป็นเพื่อนก่อน และคุณจะคุยกับเขา/เธอได้หลังจากเขา/เธอได้รับคำขอแล้ว ส่งคำขอเป็นเพื่อน,"Bạn chưa phải bạn của anh/cô ấy, đầu tiên hãy gửi xác nhận, đối phương sau khi thông qua mới có thể nói chuyện. Gửi xác nhận bạn bè","Anda bukan kawannya, sila kirim pengesahan dulu, setelah lulus baru boleh berbual-bual. Kirim pengesahan kepada kawan",,,,
Ready官方自动下发消息,你邀请的好友s1%（ID：s2%）已成功注册，你因此获得了s3%颗钻石奖励,ChatPage_GetRewardsTips,"The friend s1% (ID：s2%) you've invited has registered, and you can get s3% Diamonds as the reward","Teman Anda yang diundang s1% (ID: s2%) telah berhasil didaftarkan, jadi Anda mendapatkan hadiah berlian s3%",s1% （Id：s2%）เพื่อนที่คุณเชิญชวนมาได้ลงทะเบียนเรียบร้อยแล้ว ดังนั้น คุณได้รับโบนัสที่เป็นเพชร s3% อัน,"Người bạn mà bạn mời s1% (ID: s2%) đã đăng ký thành công, vì vậy bạn được thưởng s3% kim cương","Kawan yang anda jemput s1%（ID：s2%）sudah mendaftar, anda mendapat hadiah s3% Berlian",,,,
聊天面板,说点什么吧,ChatPage_SaySomething,Say something,Katakan sesuatu?,พูดอะไรสักหน่อยสิ,Nói chút chuyện gì đi,Bercakap sesuatu,,,,
,按住说话，松手发送,ChatPage_Hold to talk,"Hold to talk, release to send","Tahan dan bicara, lepaskan",กดค้างไว้เพื่อพูด ปล่อยมือเพื่อส่งข้อความ,"Giữ lâu để nói, thả tay ra để gửi đi","Tekan untuk bercakap,angkat jari untuk kirim",,,,
,按住说话，松手发送，最长5秒,ChatPage_HoldToTalk5,"Hold to talk, release to send, up to 5 seconds","Tahan dan bicara, lepaskan, kirim hingga 5 detik",กดค้างไว้เพื่อพูด ปล่อยมือเพื่อส่งข้อความ นานสุด 5 วินาที,"Giữ lâu để nói, thả tay ra để gửi đi, lâu nhất 5s","Tekan untuk bercakap,angkat jari untuk kirim,paling lama 5 saat",,,,
,手指上划取消，松开即可发送,ChatPage_SlideUpToCancel,"Slide up to cancel, release to send ","Batalkan pada jari, lepaskan dan kirim",สไลด์ขึ้นเพื่อยกเลิก ปล่อยมือก็จะยกเลิกทันที,"Trượt ngón tay để hủy, thả tay có thể gửi đi","Tekan dan bergerak ke atas untuk batal, angkat jari untuk kirim",,,,
,松开即可取消,ChatPage_ReleaseToCancel,Release to cancel,Rilis untuk membatalkan, ปล่อยมือก็จะยกเลิกทันที,Thả tay có thể hủy,angkat jari untuk batal,,,,
应用内约战,邀请你一起玩s%,AllPage_Invitation,The user invites you to play s%,Mengundang Anda untuk bermain s%,เชิญชวนคุณเล่นเกม s% ด้วย,Mời bạn cùng chơi s%,Jemput anda untuk bermain s%,,,,
,忽略,AllPage_Ignore,Ignore,Abaikan,ละเลย,Bỏ qua,Biarkan,,,,
,同意,AllPage_Agree,Agree,Setuju,เห็นด้วย,Đồng ý,Setuju,,,,
