页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图,,
,竞技PK场-世界排名,ProfilePage_ArenaWorldRanking,Arena-World Ranking,Lapangan PK Atletik - Ranking Dunia,สนามรบ - อันดับโลก,Sàn đấu PK-Xếp hạng thế giới,Arena PK-Ranking Dunia,,,
,竞技PK场-赛区排名,ProfilePage_ArenaDivisionRanking,Arena-Division Ranking,Lapangan PK Atlet - Peringkat Divisi,สนามรบ - อันดับภูมิภาค,Sàn đấu PK-Xếp hạng khu vực,Arena PK-Ranking Negara,,,
,高端擂台场-世界排名,ProfilePage_TopArenaWorldRanking,Top Arena-World Ranking,Tahap high-end - peringkat dunia,สนามรบชั้นสูง - อันดับโลก,Đấu trường cấp cao - Xếp hạng thế giới,Arena PK bertaraf tinggi-Ranking Dunia,,,
,高端擂台场-赛区排名,ProfilePage_TopArenaDivisionRanking,Top Arena-Division Ranking,Tahap high-end - peringkat,สนามรบชั้นสูง - อันดับภูมิภาค,Đấu trường cấp cao - Xếp hạng khu vực,Arena PK bertaraf tinggi-Ranking Negara,,,
,常玩的游戏,ProfilePage_FrequentGame,Frequently Played Games,Game yang sering dimainkan,เกมที่เล่นบ่อย,Game thường chơi,Permainan yang selalu main,,,
,胜率s%,ProfilePage_WinningPercentage,Winning Percentage s%,Menangkan tingkat%,อัตราการชนะ s%,Tỷ lệ thắng s%,Kadar menang s%,,,
,添加好友,ProfilePage_AddFriends,Add Friends,Tambahkan teman,เพิ่มผู้ติดต่อ,Thêm bạn,Tambah Kawan,,,
,举报,ProfilePage_Report,Report,Laporkan,รายงาน,Tố cáo,Mengadu,,,
,取消,ProfilePage_Cancel,Cancel,Batalkan,ยกเลิก,Hủy,Batal,,,
,发送好友验证,ProfilePage_FriendVerification,Send Friend Verification,Kirim verifikasi teman,ส่งคำขอเป็นเพื่อน,Gửi thông điệp xác nhận,Kirim pengesahan kawan,,,
,发送,ProfilePage_Send,Send,Kirim,ส่ง,Gửi đi,Kirim ,,,
,我是s%，加个好友吧~,ProfilePage_VerificationInfo,"I'm s%, come play with me~","Saya%, tambahkan teman ~",ฉันคือ s% ขอเป็นเพื่อนกับคุณ,"Tôi là s%, kết bạn nhé~","Saya s%, sila tambah saya sebagai kawan!",,,
,操作过于频繁，请耐心等待,ProfilePage_OperationTips,Operations are too frequent. Please try again later.,"Operasi terlalu sering, harap bersabar",คุณดำเนินการบ่อยเกินไป กรุณาอดทนรอ,"Thao tác quá nhiều làn, vui lòng kiên nhẫn chờ đợi","Kerap bertindak, sila tunggu sebentar",,,
,删除好友,ProfilePage_DeleteFriends,Delete Friends,Hapus teman,ลบผู้ติดต่อ,Xóa bạn bè,Padam Kawan,,,
,删除好友后，将不再收到该好友的消息。确定删除吗？,ProfilePage_DeleteInfo,Messages from the friend will no longer be received after deleting. Are you sure you want to delete?,"Setelah menghapus teman, pesan teman tidak akan diterima lagi. Anda yakin ingin menghapus?",หากคุณลบผู้ติดต่อแล้ว จะรับข้อความจากผู้ติดต่อคนนี้อีกไม่ได้ ยืนยันจะลบไหม,Sau khi xóa bạn bè sẽ không nhận được bất cứ tin nhắn nào của bạn bè. Có xác nhận xóa không?,"Setelah padam kawan, anda tidak akan mendapat mesej daripada kawan itu. Pasti padam?",,,
,确定,ProfilePage_Confirm,Confirm,Tentukan,ยืนยัน,Xác nhận,Pasti,,,
,编辑资料,ProfilePage_EditInfo,Edit Information,Mengedit informasi,แก้ไขข้อมูล,Chỉnh sửa thông tin,Edit Maklumat,,,
举报,请选择举报理由,ReportPage_ReportReason,Please select the reason for reporting,Silakan pilih alasan untuk melaporkan,กรุณาเลือกเหตุผลสำหรับรายงาน,Hãy chọn lý do báo cáo,Pilih sebab aduan,,,
,提交,ReportPage_Submit,Submit,Kirim,ยื่น,Gửi đi ,Hantar,,,
,举报已提交，我们会在12小时内进行处理,ReportPage_ReportTips,The report has been submitted. We will process it within 12 hours,"Laporan disampaikan, kami akan memprosesnya dalam waktu 12 jam",คุณยื่นรายงานเรียบร้อยแล้ว เราจะดำเนินการให้ภายใน 12 ชั่วโมง,"Tố cáo đã được gửi đi, chúng tôi sẽ tiền hành xử lý trong vòng 12 giờ.","Aduan telah dihantar, kami akan uruskan ini dalam 12 jam",,,
编辑资料页,头像,EditProfilePage_Avatar,Avatar,Avatar,รูปประจำตัว,Hình đại diện,Foto Profil,,,
,用户名,EditProfilePage_Username,Username,Nama pengguna,ชื่อผู้ใช้,Tên người dùng,Nama,,,
,生日,EditProfilePage_Birthday,Date of Birth,Ulang tahun,วันเดือนปีเกิด,Ngày sinh,Hari Lahir,,,
,放弃此次资料编辑？,EditProfilePage_GiveUpEdit,Are you sure you want to give up the editing?,Lepaskan pengeditan informasi ini?,จะยกเลินการแก้ไขข้อมูลครั้งนี้ไหม,Từ bỏ chỉnh sửa thông tin?,Batal edit ini？,,,
,放弃编辑,EditProfilePage_GiveUpEdit,Quit Editing,Abaikan pengeditan,ยกเลินการแก้ไขข้อมูล,Từ bỏ chỉnh sửa,Batal Edit,,,
意见反馈,意见反馈,FeedBackPage_Feedback,Feedback,Umpan balik,ความคิดเห็นและผลสะท้อนกลับ,Ý kiến phản hồi,Maklum Balas,,,
,输入你遇到的问题，可以留下你的whatsapp账号方便我们与您取得联系,FeedBackPage_Tips,Enter the problem you've met with and leave your Whatsapp account for us to get in touch with you.,"Masukkan masalah Anda, Anda dapat meninggalkan akun kenyamanan whatsapp Anda dan kami akan menghubungi Anda",กรุณาป้อนปัญหาที่คุณพบ และป้อนไอดี whatsapp ของคุณไว้ เพื่อให้เราติดต่อกับคุณได้,"Nhập vấn đề mà bạn gặp phải, có thể để lại tài khoản whatsapp để chúng tôi tiện liên hệ với bạn",Masukkan masalah anda dan tinggalkan akaun whatsapp supaya kami berhubung dengan anda,,,
,已经超过最大字符限制，请重新编辑,FeedBackPage_ToastTips,"The maximum character limit has been exceeded, please re-edit","Batas karakter maksimum telah terlampaui, silakan edit ulang",จำนวนอักษรเกินจำนวนสูงสุดแล้ว กรุณาแก้ไขอีกครั้ง,"Đã vượt quá giới hạn ký tự tối đa, hãy soạn lại","Sudah melebihi batasan huruf, sila edit lagi",,,
邀请好友页面,邀请好友得钻石,InvitationPage_Invitation,Invite friends to get Diamonds,Undang teman untuk mendapatkan berlian,หารายได้เพชรด้วยการเชิญชวนเพื่อน,Mời bạn bè nhận được kim cương,Jemput kawan untuk mendapat berlian,,,
,邀请新用户输入你的邀请码，你的好友将会获得2颗钻石奖励，你也会根据你邀请好友的数量得到相应的钻石奖励，拉上朋友一起玩游戏吧,InvitationPage_InvitationInfo,"When a new user invited enters you Invitation Code, your friend will get 2 Diamonds as the reward, and you will also get the Diamonds based on the number of users you've invited. Invite your friends to play games with you","Mengundang pengguna baru untuk memasukkan kode undangan Anda, teman Anda akan mendapatkan dua berlian bonus, Anda juga mendapatkan yang sesuai reward berdasarkan jumlah berlian Anda mengundang teman-teman, teman-teman untuk bermain game dengan itu satu atau lain cara",ผู้ใช้ใหม่ที่ป้อนรหัสเชิญของคุณจะได้รับโบนัสที่เป็นเพชร 2 อัน และคุณจะได้รับโบนัสที่เป็นเพชรตามจำนวนผู้ใช้ใหม่ที่คุณชวนมา ไปชวนเพื่อนมาเล่นเกมด้วยกันเถอะ,"Mời người dùng mới nhập mã giới thiệu của bạn, bạn bè của bạn sẽ được thưởng 2 viên kim cương, bạn cũng được thưởng số kim cương tương ứng với số lượng bạn bè bạn giới thiệu, kéo bạn bè đến cùng nhau chơi thôi ","Jemput pengguna baru dengan masukkan kod jemputan anda, kawan anda akan mendapat 2 berlian, anda juga boleh mendapat berlian yang berkaitan mengikut jumlah orang yang anda jemput. Jemput kawan untuk bermain bersama-sama!",,,
,邀请名额,InvitationPage_InvitationNumber,Number of Invitation,Kuota undangan,จำนวนคนที่คุณเชิญชวนได้,Số người mời,Jumlah Jemputan,,,
,邀请s%个人,InvitationPage_InvitationX,Invite s% Users,Undang s% individu,เชิญชวน s% คน,Mời s% người,Jemput s% orang,,,
,奖励,InvitationPage_Rewards,Rewards,Hadiah,โบนัส,Thưởng,Hadiah,,,
,邀请码,InvitationPage_InvitationCode,Invitation Code,Kode undangan,รหัสเชิญ,Mã giới thiệu,Kod Jemputan,,,
,分享我的邀请码,InvitationPage_Share,Share my invitation code,Bagikan kode undangan saya,แชร์รหัสเชิญของฉัน,Chia sẻ mã giới thiệu của tôi,Kongsi kod jemputan saya,,,
,快来Ready和我一起开黑吧！,InvitationPage_InviteTitle,Play with me on Ready!,Ayo Bersiap dan biarkan aku menjadi hitam!,มาเล่นเกมกับฉันที่แอพ Ready เถอะ,Mau đến Ready họp nhóm với tôi đi!,Cepat bentukkan geng dengan saya dalam Ready！,,,
,约你来Ready玩游戏，输入邀请码接受我的挑战吧~,InvitationPage_InviteContent,The user invites you to play games on Ready. Enter the invitation code to accept the challenge~,"Tentang bermain game dengan Ready, masukkan kode undangan untuk menerima tantangan saya ~",ฉันชวนคุณมาเล่นเกมที่แอพ Ready ป้อนรหัสเชิญและมารับการท้าทายจากฉันเถอะ,"Hẹn bạn đến Ready chơi, nhập mã giới thiệu để chấp nhận thách đấu của tôi đi~","Jemput anda bermain dalam Ready, masukkan kod jemputan saya dan berlawan dengan saya!",,,
邀请H5落地页,“嘿~有你真好！”,InvitationH5Page_PageTitile,"""Hey, it's good to be with you!""",Hei ~ Sangat menyenangkan memilikimu!,“รู้สึกดีที่มีคุณอยู่ข้าง ๆ ด้วย”,"""Tuyệt ~ Có bạn thật tốt !""","Hi, Alangkah baik bersama kamu!",,,
,来Ready和我一起打怪升级，输入我的邀请码，我们都可以享钻石大礼~,InvitationH5Page_PageContent,Come to Ready and fight to level up with me. Enter my Invitation Code to get Diamonds for both of us~,"Siap untuk meng-upgrade Daguai dan saya bersama-sama, saya masukkan kode undangan, kita bisa menikmati karunia berlian ~",มาเล่นเกมกับฉันด้วยที่แอพ Ready ป้อนรหัสเชิญของฉัน และเราจะได้รับเพชรฟรี,"Đến Ready đánh quái vật với tôi để nâng cấp, nhập mã giới thiệu của tôi, chúng ta đều có thể tận hưởng món quà kim cương~","Bermain dalam Ready dengan saya, masukkan kod jemputan saya, kita akan dapat hadiah berlian.",,,
,立即下载,InvitationH5Page_DownloadNow,Download Now,Unduh sekarang,ดาวน์โหลดเดี๋ยวนี้,Tải về ngay lập tức,Download Segera,,,
,已成功复制,InvitationH5Page_Copied,Copied,Berhasil disalin,คัดลอกสำเร็จแล้ว,Đã sao chép thành công,Sudah Salin,,,
设置页,语言,SettingPage_Language,Language,Bahasa,ภาษา,Ngôn ngữ,Bahasa,,,
,服务协议,SettingPage_ServiceAgreement,Service Agreement,Perjanjian layanan,ข้อตกลงทางบริการ,Thỏa thuận dịch vụ,Perjanjian Perkhidmatan,,,
,隐私条款,SettingPage_PrivacyPolicy,Privacy Policy,Kebijakan privasi,นโยบายความเป็นส่วนตัว,Chính sách bảo mật,Syarat Privasi,,,
,退出登录,SettingPage_SignOut,Sign Out,Logout,ออกจากระบบ,Thoát đăng nhập,Log Keluar,,,
,退出登录之后将无法收到消息提醒,SettingPage_Tips,You cannot receive message notifications after signing out,Anda tidak akan menerima pengingat pesan setelah logout,คุณจะรับข้อเตือนสำหรับข้อความใหม่ไม่ได้หลังจากคุณออกจากระบบแล้ว,Sau khi thoát đăng nhập không thể nhận tin nhắn nhắc nhở,Anda tidak akan mendapat mesej setelah log keluar,,,
选择语言页面,英语,SelectLanguage_English,English,Bahasa Inggris,ภาษาอังกฤษ,Tiếng Anh,Bahasa Inggeris,,,
,印度尼西亚语,SelectLanguage_Indonesian,Indonesian,Bahasa indonesia,ภาษาอินโดนีเซีย,Tiếng Indonesia,Bahasa Indonesia,,,
,越南语,SelectLanguage_Vietnamese,Vietnamese,Bahasa Vietnam,ภาษาเวียดนาม,Tiếng Việt,Bahasa Vietnam,,,
,泰语,SelectLanguage_Thai,Thai,Bahasa Thailand,ภาษาไทย,Tiếng Thái,Bahasa Thai,,,
,马来西亚语,SelectLanguage_Malay,Malay,Bahasa Melayu,ภาษามลายู,Tiếng Malaisia,Bahasa Melayu,,,
