,继续玩,RandowMatchPage_Continue,Continue,Terus main,เล่นเกมต่อไป,Tiếp tục chơi,Terus main,,,,,,
,认输退出,RandowMatchPage_DefeatAndQuit,Admit defeat and quit,Akui kekalahan,ยอมแพ้และออกจากเกม,Nhận thua để thoát,Akui kalah dan keluar,,,,,,
PK-游戏页面,今日胜点,PKGamePage_DailyWinningPoints,Daily Winning Points,Kemenangan hari ini,อัตราการชนะของวันนี้,Số điểm thắng hôm nay,Titik Kemenangan Hari Ini,,,,,,
,今日排名,PKGamePage_DailyWinningPointsRanking,Daily Ranking,Peringkat hari ini,อับดับของวันนี้,Xếp hạng hôm nay,Ranking Hari ini,,,,,,
,查看达人排行榜,PKGamePage_CheckTopRanking,Check Top Ranking,Lihat hingga papan peringkat,ตรวจสอบลีดเดอร์บอร์ดแทเลินต์,Xem bảng xếp hạng người chơi xuất sắc,Tengok Senarai Ranking Pemain Hebat,,,,,,
,入场要求,PKGamePage_Requirement,Requirement,Persyaratan Pendaftaran,เงื่อนไขสำหรับการเข้าร่วมเกม,Yêu cầu vào trận,Syarat Kemasukan,,,,,,
,开始匹配,PKGamePage_StartMatching,Start Matching,Mulai cocok,เริ่มจับคู่,Bắt đầu tìm kiếm,Mulai mencari pemain yang sesuai,,,,,,
游戏结束页,胜利,GameOverDialog_Victory,Victory,Kemenangan,ชนะ,Thắng,Menang,,,,,,
,失败,GameOverDialog_Defeat,Defeat,Kegagalan,ล้มเหลว,Thua,Kalah,,,,,,
,平局,GameOverDialog_Draw,Draw,Draw,เสมอตัว,Hòa,Seri,,,,,,
,当前胜点值,GameOverDialog_CurrentWinningPoints,Current Winning Points,Nilai kemenangan saat ini,อัตราการชนะปัจจุบัน,Giá trị điểm thắng hiện tại,Titik Kemenangan Sekarang,,,,,,
,连胜,GameOverDialog_WinningStreak,Winning Streak,Streak,ชนะอย่างต่อเนื่อง,Thắng liên tục ,Menang berturut-turut,,,,,,
,奖励金币数：s%,GameOverDialog_RewardsGold,Rewards of Gold Coins: s%,Hadiahkan koin emas: s%,เหรียญทองที่ได้รับเป็นโบนัส ：s% อัน,Thưởng số tiền xu vàng: s%,Hadiah Syiling Emas: s%,,,,,,
,换个游戏,GameOverDialog_SwitchGame,Switch Game,Ubah permainan,เปลี่ยนเกมใหม่,Đổi trò chơi,Tukar Permainan,,,,,,
,再来一局,GameOverDialog_PlayAgain,Play Again,Satu lagi game,เล่นเกมนี้ต่ออีกหนึ่งเกม,Tiếp một ván nữa,Main Sekali Lagi,,,,,,
,对方已退出，添加好友再战吧,GameOverDialog_OpponetQuitted,The opponent has quitted. Add the user as your friend to play again,"Pihak lain telah berhenti, tambahkan teman dan bertempur lagi.",อีกหนึ่งฝ่ายออกจากเกมแล้ว เพิ่มเป็นเพื่อนก่อนค่อยเล่นเกมเถอะ,"Đối phương đã thoát, thêm bạn để tiếp tục thi đấu","Pelawan sudah keluar, tambah kawan untuk terus bermain",,,,,,
,添加好友后才能再次约战哦~,GameOverDialog_AddFried,You need to add the user as your friend to play again~,"Setelah kamu menambahkan teman, kamu bisa bertarung lagi ~",คุณต้องเพิ่มอีกหนึ่งฝ่ายเป็นเพื่อนก่อนถึงจะนัดเล่นเกมด้วยได้นะ,Sau khi thêm bạn mới có thể tiếp tục thi đấu~,Tambah kawan baru boleh bermain lagi.,,,,,,
,对方想换个游戏,GameOverDialog_OpponetSwitchGame,The opponent wants to switch the game,Pihak lain ingin mengubah permainan,อีกหนึ่งฝ่ายอยากเปลี่ยนเกมใหม่,Đối phương muốn đổi trò chơi,Pelawan ingin tukar permainan,,,,,,
,等待对方,GameOverDialog_WaitOpponent,Wait for the opponent,Menunggu satu sama lain,รออีกหนึ่งฝ่ายอยู่,Đợi đối phương,Tunggu pelawan,,,,,,
,对方已准备好，点击再战,GameOverDialog_IsReady,The opponent is ready. Tap to play again,Pihak lain siap untuk mengklik dan bertarung lagi,อีกหนึ่งฝ่ายพร้อมแล้ว คลิกและเริ่มเกมใหม่,"Đối phương đã chuẩn bị xong, nhấp vào tiếp tục thi đấu","Pelawan sudah sedia, tekan untuk terus bermain.",,,,,,
达人排行榜,今日胜点值,GameRankingPage_DailyWinningPoints,Daily Winning Points,Kemenangan hari ini,อัตราการชนะของวันนี้,Giá trị điểm thắng hôm nay,Titik Kemenangan Hari Ini,,,,,,
,本周胜点值,GameRankingPage_WeeklyWinningPoints,Weekly Winning Points,Nilai poin kemenangan minggu ini,อัตราการชนะของอาทิตย์นี้,Giá trị điểm thắng tuần này,Titik Kemenangan Minggu Ini,,,,,,
