,提交,ReportPage_Submit,Submit,Kirim,ยื่น,Gửi đi ,Hantar,,,
,举报已提交，我们会在12小时内进行处理,ReportPage_ReportTips,The report has been submitted. We will process it within 12 hours,"Laporan disampaikan, kami akan memprosesnya dalam waktu 12 jam",คุณยื่นรายงานเรียบร้อยแล้ว เราจะดำเนินการให้ภายใน 12 ชั่วโมง,"Tố cáo đã được gửi đi, chúng tôi sẽ tiền hành xử lý trong vòng 12 giờ.","Aduan telah dihantar, kami akan uruskan ini dalam 12 jam",,,
编辑资料页,头像,EditProfilePage_Avatar,Avatar,Avatar,รูปประจำตัว,Hình đại diện,Foto Profil,,,
,用户名,EditProfilePage_Username,Username,Nama pengguna,ชื่อผู้ใช้,Tên người dùng,Nama,,,
,生日,EditProfilePage_Birthday,Date of Birth,Ulang tahun,วันเดือนปีเกิด,Ngày sinh,Hari Lahir,,,
,放弃此次资料编辑？,EditProfilePage_GiveUpEdit,Are you sure you want to give up the editing?,Lepaskan pengeditan informasi ini?,จะยกเลินการแก้ไขข้อมูลครั้งนี้ไหม,Từ bỏ chỉnh sửa thông tin?,Batal edit ini？,,,
,放弃编辑,EditProfilePage_GiveUpEdit,Quit Editing,Abaikan pengeditan,ยกเลินการแก้ไขข้อมูล,Từ bỏ chỉnh sửa,Batal Edit,,,
意见反馈,意见反馈,FeedBackPage_Feedback,Feedback,Umpan balik,ความคิดเห็นและผลสะท้อนกลับ,Ý kiến phản hồi,Maklum Balas,,,
,输入你遇到的问题，可以留下你的whatsapp账号方便我们与您取得联系,FeedBackPage_Tips,Enter the problem you've met with and leave your Whatsapp account for us to get in touch with you.,"Masukkan masalah Anda, Anda dapat meninggalkan akun kenyamanan whatsapp Anda dan kami akan menghubungi Anda",กรุณาป้อนปัญหาที่คุณพบ และป้อนไอดี whatsapp ของคุณไว้ เพื่อให้เราติดต่อกับคุณได้,"Nhập vấn đề mà bạn gặp phải, có thể để lại tài khoản whatsapp để chúng tôi tiện liên hệ với bạn",Masukkan masalah anda dan tinggalkan akaun whatsapp supaya kami berhubung dengan anda,,,
,已经超过最大字符限制，请重新编辑,FeedBackPage_ToastTips,"The maximum character limit has been exceeded, please re-edit","Batas karakter maksimum telah terlampaui, silakan edit ulang",จำนวนอักษรเกินจำนวนสูงสุดแล้ว กรุณาแก้ไขอีกครั้ง,"Đã vượt quá giới hạn ký tự tối đa, hãy soạn lại","Sudah melebihi batasan huruf, sila edit lagi",,,
邀请好友页面,邀请好友得钻石,InvitationPage_Invitation,Invite friends to get Diamonds,Undang teman untuk mendapatkan berlian,หารายได้เพชรด้วยการเชิญชวนเพื่อน,Mời bạn bè nhận được kim cương,Jemput kawan untuk mendapat berlian,,,
,邀请新用户输入你的邀请码，你的好友将会获得2颗钻石奖励，你也会根据你邀请好友的数量得到相应的钻石奖励，拉上朋友一起玩游戏吧,InvitationPage_InvitationInfo,"When a new user invited enters you Invitation Code, your friend will get 2 Diamonds as the reward, and you will also get the Diamonds based on the number of users you've invited. Invite your friends to play games with you","Mengundang pengguna baru untuk memasukkan kode undangan Anda, teman Anda akan mendapatkan dua berlian bonus, Anda juga mendapatkan yang sesuai reward berdasarkan jumlah berlian Anda mengundang teman-teman, teman-teman untuk bermain game dengan itu satu atau lain cara",ผู้ใช้ใหม่ที่ป้อนรหัสเชิญของคุณจะได้รับโบนัสที่เป็นเพชร 2 อัน และคุณจะได้รับโบนัสที่เป็นเพชรตามจำนวนผู้ใช้ใหม่ที่คุณชวนมา ไปชวนเพื่อนมาเล่นเกมด้วยกันเถอะ,"Mời người dùng mới nhập mã giới thiệu của bạn, bạn bè của bạn sẽ được thưởng 2 viên kim cương, bạn cũng được thưởng số kim cương tương ứng với số lượng bạn bè bạn giới thiệu, kéo bạn bè đến cùng nhau chơi thôi ","Jemput pengguna baru dengan masukkan kod jemputan anda, kawan anda akan mendapat 2 berlian, anda juga boleh mendapat berlian yang berkaitan mengikut jumlah orang yang anda jemput. Jemput kawan untuk bermain bersama-sama!",,,
,邀请名额,InvitationPage_InvitationNumber,Number of Invitation,Kuota undangan,จำนวนคนที่คุณเชิญชวนได้,Số người mời,Jumlah Jemputan,,,
,邀请s%个人,InvitationPage_InvitationX,Invite s% Users,Undang s% individu,เชิญชวน s% คน,Mời s% người,Jemput s% orang,,,
,奖励,InvitationPage_Rewards,Rewards,Hadiah,โบนัส,Thưởng,Hadiah,,,
,邀请码,InvitationPage_InvitationCode,Invitation Code,Kode undangan,รหัสเชิญ,Mã giới thiệu,Kod Jemputan,,,
,分享我的邀请码,InvitationPage_Share,Share my invitation code,Bagikan kode undangan saya,แชร์รหัสเชิญของฉัน,Chia sẻ mã giới thiệu của tôi,Kongsi kod jemputan saya,,,
,快来Ready和我一起开黑吧！,InvitationPage_InviteTitle,Play with me on Ready!,Ayo Bersiap dan biarkan aku menjadi hitam!,มาเล่นเกมกับฉันที่แอพ Ready เถอะ,Mau đến Ready họp nhóm với tôi đi!,Cepat bentukkan geng dengan saya dalam Ready！,,,
,约你来Ready玩游戏，输入邀请码接受我的挑战吧~,InvitationPage_InviteContent,The user invites you to play games on Ready. Enter the invitation code to accept the challenge~,"Tentang bermain game dengan Ready, masukkan kode undangan untuk menerima tantangan saya ~",ฉันชวนคุณมาเล่นเกมที่แอพ Ready ป้อนรหัสเชิญและมารับการท้าทายจากฉันเถอะ,"Hẹn bạn đến Ready chơi, nhập mã giới thiệu để chấp nhận thách đấu của tôi đi~","Jemput anda bermain dalam Ready, masukkan kod jemputan saya dan berlawan dengan saya!",,,
邀请H5落地页,“嘿~有你真好！”,InvitationH5Page_PageTitile,"""Hey, it's good to be with you!""",Hei ~ Sangat menyenangkan memilikimu!,“รู้สึกดีที่มีคุณอยู่ข้าง ๆ ด้วย”,"""Tuyệt ~ Có bạn thật tốt !""","Hi, Alangkah baik bersama kamu!",,,
,来Ready和我一起打怪升级，输入我的邀请码，我们都可以享钻石大礼~,InvitationH5Page_PageContent,Come to Ready and fight to level up with me. Enter my Invitation Code to get Diamonds for both of us~,"Siap untuk meng-upgrade Daguai dan saya bersama-sama, saya masukkan kode undangan, kita bisa menikmati karunia berlian ~",มาเล่นเกมกับฉันด้วยที่แอพ Ready ป้อนรหัสเชิญของฉัน และเราจะได้รับเพชรฟรี,"Đến Ready đánh quái vật với tôi để nâng cấp, nhập mã giới thiệu của tôi, chúng ta đều có thể tận hưởng món quà kim cương~","Bermain dalam Ready dengan saya, masukkan kod jemputan saya, kita akan dapat hadiah berlian.",,,
,立即下载,InvitationH5Page_DownloadNow,Download Now,Unduh sekarang,ดาวน์โหลดเดี๋ยวนี้,Tải về ngay lập tức,Download Segera,,,
,已成功复制,InvitationH5Page_Copied,Copied,Berhasil disalin,คัดลอกสำเร็จแล้ว,Đã sao chép thành công,Sudah Salin,,,
设置页,语言,SettingPage_Language,Language,Bahasa,ภาษา,Ngôn ngữ,Bahasa,,,
,服务协议,SettingPage_ServiceAgreement,Service Agreement,Perjanjian layanan,ข้อตกลงทางบริการ,Thỏa thuận dịch vụ,Perjanjian Perkhidmatan,,,
,隐私条款,SettingPage_PrivacyPolicy,Privacy Policy,Kebijakan privasi,นโยบายความเป็นส่วนตัว,Chính sách bảo mật,Syarat Privasi,,,
,退出登录,SettingPage_SignOut,Sign Out,Logout,ออกจากระบบ,Thoát đăng nhập,Log Keluar,,,
,退出登录之后将无法收到消息提醒,SettingPage_Tips,You cannot receive message notifications after signing out,Anda tidak akan menerima pengingat pesan setelah logout,คุณจะรับข้อเตือนสำหรับข้อความใหม่ไม่ได้หลังจากคุณออกจากระบบแล้ว,Sau khi thoát đăng nhập không thể nhận tin nhắn nhắc nhở,Anda tidak akan mendapat mesej setelah log keluar,,,
选择语言页面,英语,SelectLanguage_English,English,Bahasa Inggris,ภาษาอังกฤษ,Tiếng Anh,Bahasa Inggeris,,,
,印度尼西亚语,SelectLanguage_Indonesian,Indonesian,Bahasa indonesia,ภาษาอินโดนีเซีย,Tiếng Indonesia,Bahasa Indonesia,,,
,越南语,SelectLanguage_Vietnamese,Vietnamese,Bahasa Vietnam,ภาษาเวียดนาม,Tiếng Việt,Bahasa Vietnam,,,
,泰语,SelectLanguage_Thai,Thai,Bahasa Thailand,ภาษาไทย,Tiếng Thái,Bahasa Thai,,,
,马来西亚语,SelectLanguage_Malay,Malay,Bahasa Melayu,ภาษามลายู,Tiếng Malaisia,Bahasa Melayu,,,



页面,中文,Key,英文,印尼语,泰语,越南语,马来语,截图,,
充值页,购买钻石,RechargePage_PurchaseDiamonds,Purchase Diamonds,Beli berlian,ซื้อเพชร,Mua kim cương,Beli berlian,,,
,你当前拥有s%个钻石，直接购买或用金币兑换,RechargePage_Tips,"You currently have s% Diamonds, purchase some or exchange with Gold Coins","Saat ini Anda memiliki% berlian, beli secara langsung atau tukarkan dengan koin emas.",ตอนนี้คุณมีเพชร s% อัน คุณจะซื้อเพชรโดยตรงหรือแลกเพชรด้วยเหรียญทอง,"Hiện bạn đang có s% kim cương, trực tiếp mua hoặc dùng tiền xu vàng đổi","Anda mempunyai s% berlian sekarang,terus beli atau tukar dengan syiling emas",,,
,如果您遇到问题，反馈给我们,RechargePage_Feedback,"If you meet with any problem, please send your feedback to us","Jika Anda memiliki masalah, umpan balik kepada kami",หากคุณพบปัญหาใด กรุณาฝากข้อความกับเรา,"Nếu bạn gặp vấn đề, hãy phản hồi với chúng tôi","Jika anad menghadapi masalah, sila beritahu kami",,,
,支付失败,RechargePage_FailedTips,Payment Failed,Pembayaran gagal,การชำระเงินล้มเหลว,Thanh toán thất bại,Pembayaran gagal,,,
金币兑换钻石页,金币兑换钻石,GoldForDiamondPage_GoldForDiamond,Exchange Diamonds with Gold Coins,Koin emas bertukar berlian,การแลกเพชรด้วยเหรียญทอง,Tiền xu vàng đổi kim cương,Syiling emas tukar berlian,,,
,每天只可以兑换一次哦~,GoldForDiamondPage_Tips,You can exchange only once a day~,Hanya tukarkan sekali sehari ~,แลกได้แค่วันละหนึ่งครั้ง,Mỗi ngày chỉ có thể đổi một lần nhé~,Hanya boleh tukar sekali setiap hari,,,
,当前拥有金币数,GoldForDiamondPage_GoldNumber,Current Gold Coins,Jumlah koin emas saat ini,เหรียญทองที่มีอยู่ตอนนี้,Số tiền xu vàng hiện có,Jumlah Syiling Emas,,,
,当前拥有钻石数,GoldForDiamondPage_DiamondNumber,Current Diamonds,Jumlah berlian saat ini,เพชรที่มีอยู่ตอนนี้,Số kim cương hiện có,Jumlah Berlian,,,
,去充值,GoldForDiamondPage_Recharge,Recharge,Isi ulang,ไปเติมเงิน,Nạp tiền,Isi wang,,,
,确定用s%金币兑换s%颗钻石吗？,GoldForDiamondPage_ConfirmInfo,Are you sure you want to exchange s% Diamonds with s% Gold Coins?,Anda yakin ingin menukarkan berlian% s dengan% emas?,ยืนยันจะแลกเพชร s% อันด้วยเหรียญทอง s% อันไหม,Xác nhận dùng s% tiền xu vàng đổi s% kim cương không?,Pastikan tukar s% berlian dengan s% syiling emas?,,,
,金币不足,GoldForDiamondPage_NotEnoughTips,Not enough Gold Coins,Kekurangan koin emas,เหรียญทองไม่เพียงพอ,Tiền xu vàng không đủ,Syiling emas tidak cukup,,,
,每天只可以兑换一次哦，请明天再来,GoldForDiamondPage_Tips,You can exchange only once a day. Please come again tomorrow,"Hanya tukarkan sekali sehari, silakan kembali besok.",แลกได้แค่วันละหนึ่งครั้ง กรุณามาใหม่พรุ่งนี้,"Mỗi ngày chỉ có thể đổi 1 lần, vui lòng quay lại vào ngày mai","Hanya boleh tukar sekali setiap hari, besok datang lagi",,,
钻石兑换金币,钻石兑换金币,DiamondForGoldPage_DiamondForGold,Exchange Gold Coins with Diamonds,Koin emas pertukaran berlian,แลกเหรียญทองด้วยเพชร,Kim cương đổi tiền xu vàng,Berlian Tukar Syiling Emas,,,
,确定用s%颗钻石兑换s%金币吗？,DiamondForGoldPage_ConfirmInfo,Are you sure you want to exchange s% Gold Coins with s% Diamonds?,Apakah Anda yakin ingin menukar berlian% s untuk koin emas%?,ยืนยันจะแลกเหรียญทอง s% อันด้วยเพชร s% อันไหม,Xác nhận dùng s% kim cương đổi s% tiền xu vàng không?,Pastikan tukar s% syiling emas dengan s% berlian ?,,,
,钻石不足,DiamondForGoldPage_NotEnoughTips,Not enough Diamonds,Berlian tidak mencukupi,เพชรไม่เพียงพอ,Kim cương không đủ,Berlian tidak cukup,,,
金币明细页面,每日签到,GoldDetailsPage_CheckIn,Daily Check-in,Check in setiap hari,รายงานตัวประจำวัน,Báo danh mỗi ngày,Tandatangi Setiap Hari,,,
,在「s%」游戏中取得胜利,GoldDetailsPage_WinGame,Win in the game 「s%」,"Menangkan game ""s%""",ได้รับชัยชนะในเกม 「s%」,Giành chiến thắng trong trò chơi「s%」,Menang dalam permainan「s%」,,,
,完成了「s%」任务,GoldDetailsPage_CompleteTask,Complete the task 「s%」,"Selesaikan tugas ""s%""",สำเร็จภารกิจ 「s%」,Hoàn thành nhiệm vụ「s%」,Tugas「s%」diselesaikan,,,
,兑换了s%个金币,GoldDetailsPage_ExchangeGold,Exchange s% Gold Coins,% Koin emas yang ditukarkan,แลกเหรียญทอง s% อัน,Đã đổi s% tiền xu vàng,s% syiling emas ditukar,,,
,用钻石成功兑换了s%个金币,GoldDetailsPage_ExchangeGoldWithDiamond,Exchange s% Gold Coins with Diamonds,Berhasil menukarkan koin emas dengan berlian %,,Dùng kim cương đổi s% tiền xu vàng thành công,s% syiling emas ditukar dengan berlian,,,
钻石明细,充值了s%颗钻石,DiamondDetailsPage_Recharge,Recharge s% Diamonds,Top up% berlian,เติมเงินและซื้อเพชร s% อัน,Nạp s% kim cương,Membeli s% berlian,,,
,成功邀请好友,DiamondDetailsPage_Invite,Invite a friend,Berhasil mengundang teman,การเชิญชวนเพื่อนสำเร็จ,Mời bạn bè thành công,Berjaya menjemput kawan,,,
,在「s%」游戏中赢得s%颗钻石,DiamondDetailsPage_WinDiamond,Win s% Diamonds in the game 「s%」,"Hasilkan% berlian dalam game ""s%""",ได้ชนะเกม 「s%」 และได้รับเพชร s% อัน,Giành s% kim cương trong trò chơi「s%」,Menang s% berlian dalam permainan「s%」,,,
